# Hid              Name                RA(HHMMSS)    R.A.(deg)            eR(SS)   Dec(DDMMSS)   Dec.(deg)       eD(SS)   Vel_HI   eV   W50   eW50   W20   eW20   PkFlux   ePkF   TotFlux   eTotF   MHI                  eMHI                   SNpeak   SNtot   rms   flag   specObjID             plateID               fiberID   mjd     ra          dec         z             zErr          Vel_SDSS   NOC_Spz   2nd_OC_specObjID      A_W20     A_W20_err   W20_center   aa_snr               V_NED   V_NED_e   RA_NED   RA_NED_e   DEC_NED   DEC_NED_e   potOC                        A_W50     A_W50_err  
  J115337+181851   A1367_fr2_107_VB    11:53:37.79   178.4074444441111    0.7      18:18:51.95   18.3144305556   10       6090     3    115   6      141   10     11.2     1.1    1.053     0.13    9.330436326593317    0.09068388945850497    12.4     6.6     0.9   0      2828372231464183808   2828260631033964544   406       53877   178.40883   18.316174   0.02031662    7.102637E-6   6090       1         -1                    1.10279   0.05208     6090.0       24.396186444677742   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.11323   0.05132    
  J115140+203943   A1367_fr2_161_VB    11:51:40.57   177.91902777811111   0.9      20:39:43.47   20.662075       13       6567     6    33    12     52    18     3.6      0.7    0.109     0.051   8.345434453348455    0.2405333327115555     5.1      2.1     0.7   0      2825051711431796736   2824882936396933120   614       54180   177.92588   20.661232   0.02190196    1.230178E-5   6566       1         -1                    1.55279   0.14541     6567.0       6.061170350971858    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.36228   0.15367    
  J115411+183114   A1367_fr2_108_VB    11:54:11.77   178.5490277781111    1.0      18:31:14.69   18.5207472222   23       6609     9    131   17     198   26     11.5     1.8    0.955     0.207   9.288011326991578    0.1319292850385389     6.8      2.6     1.7   0      2828385975359531008   2828260631033964544   456       53877   178.53458   18.527819   0.02198624    1.687583E-5   6591       1         -1                    1.54109   0.14028     6609.0       10.97498169459056    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         2.10423   0.13633    
  J115340+204629   A1367_fr2_165_VB    11:53:40.75   178.4197777781111    0.8      20:46:29.88   20.7749666667   12       6636     6    75    12     106   17     4.7      0.7    0.307     0.075   8.795146330885018    0.14348692509653227    6.8      3.4     0.7   0      2831753234803091456   2831638335837988864   418       54180   178.41754   20.786477   0.02213443    1.815301E-5   6635       1         -1                    1.08423   0.10702     6636.0       11.323865593196926   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.09184   0.10578    
  J113844+200821   A1367_fr3_071_VB    11:38:44.89   174.68702777811112   0.7      20:08:21.46   20.1392944444   10       3114     1    123   3      138   4      32.3     1.7    3.424     0.224   9.19                 0.06534732087142874    53.9     25.0    0.6   0      2817163815014131712   2817001637049034752   590       54180   174.6886    20.140022   0.0103481     7.461954E-6   3102       1         -1                    1.16156   0.01831     3114.0       115.05750496582635   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.06492   0.01857    
  J114822+211352   A1367_fr2_086_VB    11:48:22.94   177.0955694441111    0.8      21:13:52.35   21.2312083333   11       7404     8    108   16     169   24     4.9      0.7    0.39      0.084   8.89907256243433     0.13109085083580482    7.0      3.3     0.7   0      2825026147786450944   2824882936396933120   521       54180   177.10403   21.227978   0.02476977    9.205389E-6   7425       1         -1                    1.8259    0.20571     7404.0       11.98780559540391    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.00061   0.10782    
  J113853+214641   A1367_fr2_191_VB    11:38:53.44   174.7226527781111    0.7      21:46:41.56   21.7782111111   11       6874     5    83    10     143   14     10.4     1.0    0.829     0.108   9.226562485958103    0.09384783103283628    13.0     5.8     0.8   0      2822697102180640768   2822631131482974208   240       53876   174.72075   21.772113   0.0228018     6.519086E-6   6835       1         -1                    1.09867   0.06642     6874.0       25.43375594097459    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.03165   0.06957    
  J113825+204005   A1367_fr2_146_VB    11:38:25.93   174.6080277781111    0.7      20:40:05.26   20.6681277778   11       6693     4    41    7      93    11     10.7     0.8    0.484     0.068   8.992853317052242    0.09817001388340986    17.9     7.0     0.6   0      2821605017339848704   2821505236659628032   363       54179   174.607     20.665357   0.02231553    1.166409E-5   6690       1         -1                    3.50213   0.28987     6693.0       28.170021929372986   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.72674   0.0893     
  J114319+181122   A1367_fr3_058_VB    11:43:19.93   175.8330277781111    0.7      18:11:22.37   18.1895472222   10       3202     2    178   3      193   5      29.8     1.7    4.263     0.263   9.31                 0.06399325853821299    33.1     18.7    0.9   0      2823879626919536640   2823757031373039616   446       53875   175.83324   18.190665   0.01065049    1.008559E-5   3192       1         -1                    1.05432   0.02383     3202.0       79.38671370015174    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.04067   0.02385    
  J114039+195438   A1367_fr2_048_VB    11:40:39.75   175.1656111111111    0.7      19:54:38.54   19.9107055556   11       7840     3    187   6      218   9      7.3      0.6    0.921     0.088   9.27226758560468     0.07847616879343378    14.7     6.1     0.5   0      2821612164165429248   2821505236659628032   389       54179   175.16247   19.910705   0.02609602    6.791401E-6   7823       1         -1                    1.05345   0.04544     7840.0       30.119920744723895   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.06582   0.04149    
